m,x,y,z,i
856168945439.24,510.49,486.25,491.04,0
454944634137.18,499.23,495.70,499.33,0
804789301382.75,490.50,492.63,500.86,0
818596030128.47,506.52,508.07,500.05,0
856168945439.24,512.63,477.09,484.77,1
454944634137.18,503.75,490.28,498.07,1
804789301382.75,484.70,485.83,492.78,1
818596030128.47,507.81,513.32,491.86,1
856168945439.24,514.73,467.99,478.54,2
454944634137.18,508.34,484.86,496.58,2
804789301382.75,478.90,479.01,484.76,2
818596030128.47,509.11,518.54,483.71,2
856168945439.24,516.81,458.93,472.34,3
454944634137.18,512.92,479.41,495.02,3
804789301382.75,473.13,472.18,476.74,3
818596030128.47,510.41,523.73,475.56,3
856168945439.24,518.86,449.90,466.16,4
454944634137.18,517.49,473.94,493.41,4
804789301382.75,467.40,465.36,468.72,4
818596030128.47,511.71,528.89,467.41,4
